time_unix;time_server;event;symbol;signal;trend;buy_checks;sell_checks;bid;ask;spread_points;balance;equity;risk_cash;position_side;position_volume;floating_pl;message
1783534500;2026.07.08 18:15:00;EA_START;XAUUSDm;WAIT;WAIT;0;0;4074.492;4074.732;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;Exness Guard v1.32 initialized in SIGNALS ONLY
1783535356;2026.07.08 18:29:16;EA_STOP;XAUUSDm;WAIT;WAIT;0;0;4070.046;4070.286;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;EA removed or terminal stopped, reason 6
1783535356;2026.07.08 18:29:16;EA_START;XAUUSDm;WAIT;WAIT;0;0;4070.046;4070.286;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;Exness Guard v1.32 initialized in SIGNALS ONLY
1783537197;2026.07.08 18:59:57;H1_EVALUATION;XAUUSDm;WAIT;WAIT;0;1;4084.234;4084.474;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 1/5 | RSI 48.1 | ADX 20.9 | ATR 25.60
1783537274;2026.07.08 19:01:14;EA_STOP;XAUUSDm;WAIT;WAIT;0;1;4089.586;4089.826;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;EA removed or terminal stopped, reason 9
1783537380;2026.07.08 19:03:00;EA_START;XAUUSDm;WAIT;WAIT;0;0;4087.379;4087.619;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;Exness Guard v1.32 initialized in SIGNALS ONLY
1783540797;2026.07.08 19:59:57;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;2;4080.123;4080.363;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 2/5 | RSI 46.8 | ADX 20.9 | ATR 25.61
1783540797;2026.07.08 19:59:57;ALERT_TREND;XAUUSDm;WAIT;SELL;0;2;4080.123;4080.363;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm H1/H4 trend changed to SELL | BUY 0/5 | SELL 2/5 | RSI 46.8 | ADX 20.9 | ATR 25.61
1783548029;2026.07.08 22:00:29;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;2;4077.952;4078.532;580.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 2/5 | RSI 46.0 | ADX 18.4 | ATR 25.63
1783551597;2026.07.08 22:59:57;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;2;4076.626;4076.866;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 2/5 | RSI 45.8 | ADX 16.1 | ATR 25.24
1783555197;2026.07.08 23:59:57;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;2;4076.084;4076.324;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 2/5 | RSI 45.6 | ADX 14.5 | ATR 20.71
1783558800;2026.07.09 01:00:00;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;3;4073.903;4074.143;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 3/5 | RSI 44.8 | ADX 14.9 | ATR 20.73
1783562400;2026.07.09 02:00:00;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;3;4073.057;4073.297;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 3/5 | RSI 44.3 | ADX 13.0 | ATR 20.60
1783566000;2026.07.09 03:00:00;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;3;4065.083;4065.323;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 3/5 | RSI 41.4 | ADX 12.2 | ATR 19.69
1783569600;2026.07.09 04:00:00;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;3;4064.111;4064.351;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 3/5 | RSI 41.0 | ADX 13.0 | ATR 18.65
1783573200;2026.07.09 05:00:00;H1_EVALUATION;XAUUSDm;WAIT;SELL;0;3;4064.201;4064.441;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 3/5 | RSI 41.1 | ADX 13.7 | ATR 17.96
1783576800;2026.07.09 06:00:00;H1_EVALUATION;XAUUSDm;WAIT;WAIT;0;1;4081.940;4082.180;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 1/5 | RSI 50.4 | ADX 13.9 | ATR 16.74
1783580399;2026.07.09 06:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;2;1;4107.869;4108.109;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 2/5 | SELL 1/5 | RSI 60.4 | ADX 16.8 | ATR 17.08
1783583999;2026.07.09 07:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;1;1;4107.765;4108.005;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 1/5 | SELL 1/5 | RSI 60.3 | ADX 20.0 | ATR 15.55
1783587599;2026.07.09 08:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;2;1;4108.424;4108.664;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 2/5 | SELL 1/5 | RSI 60.5 | ADX 23.9 | ATR 15.26
1783591200;2026.07.09 10:00:00;H1_EVALUATION;XAUUSDm;WAIT;WAIT;2;1;4106.196;4106.436;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 2/5 | SELL 1/5 | RSI 59.2 | ADX 25.9 | ATR 13.91
1783594799;2026.07.09 10:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;2;1;4099.011;4099.251;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 2/5 | SELL 1/5 | RSI 55.2 | ADX 24.7 | ATR 14.15
1783598399;2026.07.09 11:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;2;1;4108.623;4108.863;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 2/5 | SELL 1/5 | RSI 59.2 | ADX 23.7 | ATR 14.22
1783598403;2026.07.09 12:00:03;ALERT_NEWS;XAUUSDm;WAIT;WAIT;2;1;4108.069;4108.309;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;USD high impact in 30 min | Initial Jobless Claims | new entries blocked
1783601999;2026.07.09 12:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;2;1;4107.746;4107.986;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 2/5 | SELL 1/5 | RSI 58.8 | ADX 25.2 | ATR 14.96
1783603803;2026.07.09 13:30:03;ALERT_NEWS;XAUUSDm;WAIT;WAIT;2;1;4124.676;4124.916;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;USD high impact in 30 min | Existing Home Sales | new entries blocked
1783605599;2026.07.09 13:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;2;1;4121.802;4122.042;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 2/5 | SELL 1/5 | RSI 64.1 | ADX 27.2 | ATR 16.17
1783609199;2026.07.09 14:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;2;1;4127.699;4127.939;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 2/5 | SELL 1/5 | RSI 66.0 | ADX 29.8 | ATR 16.34
1783612799;2026.07.09 15:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;2;1;4126.596;4126.836;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 2/5 | SELL 1/5 | RSI 65.4 | ADX 32.0 | ATR 15.73
1783614603;2026.07.09 16:30:03;ALERT_NEWS;XAUUSDm;WAIT;WAIT;2;1;4132.129;4132.369;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;USD high impact in 30 min | 30-Year Bond Auction | new entries blocked
1783616399;2026.07.09 16:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;3;1;4128.181;4128.421;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 3/5 | SELL 1/5 | RSI 65.8 | ADX 35.1 | ATR 15.29
